        1    0,00000000000        0,00000000000        0,00000000000    
        2    1000,00000000        0,00000000000        0,00000000000    
        3    1000,00000000        1000,00000000        0,00000000000    
        4    0,00000000000        1000,00000000        0,00000000000    
        5    300,000000000        300,000000000        0,00000000000    
        6    700,000000000        300,000000000        0,00000000000    
        7    700,000000000        700,000000000        0,00000000000    
        8    300,000000000        700,000000000        0,00000000000    
        9    54,9909083395        0,00000000000        0,00000000000    
       10    109,981816679        0,00000000000        0,00000000000    
       11    165,525894481        0,00000000000        0,00000000000    
       12    223,362994408        0,00000000000        0,00000000000    
       13    278,918549963        0,00000000000        0,00000000000    
       14    334,474105519        0,00000000000        0,00000000000    
       15    390,029661074        0,00000000000        0,00000000000    
       16    445,585216630        0,00000000000        0,00000000000    
       17    501,140772185        0,00000000000        0,00000000000    
       18    556,696327741        0,00000000000        0,00000000000    
       19    612,251883296        0,00000000000        0,00000000000    
       20    667,807438852        0,00000000000        0,00000000000    
       21    723,362994408        0,00000000000        0,00000000000    
       22    778,918549963        0,00000000000        0,00000000000    
       23    834,474105519        0,00000000000        0,00000000000    
       24    890,018183321        0,00000000000        0,00000000000    
       25    945,009091660        0,00000000000        0,00000000000    
       26    1000,00000000        54,9909083395        0,00000000000    
       27    1000,00000000        109,981816679        0,00000000000    
       28    1000,00000000        165,525894481        0,00000000000    
       29    1000,00000000        223,362994408        0,00000000000    
       30    1000,00000000        278,918549963        0,00000000000    
       31    1000,00000000        334,474105519        0,00000000000    
       32    1000,00000000        390,029661074        0,00000000000    
       33    1000,00000000        445,585216630        0,00000000000    
       34    1000,00000000        501,140772185        0,00000000000    
       35    1000,00000000        556,696327741        0,00000000000    
       36    1000,00000000        612,251883296        0,00000000000    
       37    1000,00000000        667,807438852        0,00000000000    
       38    1000,00000000        723,362994408        0,00000000000    
       39    1000,00000000        778,918549963        0,00000000000    
       40    1000,00000000        834,474105519        0,00000000000    
       41    1000,00000000        890,018183321        0,00000000000    
       42    1000,00000000        945,009091660        0,00000000000    
       43    945,009091660        1000,00000000        0,00000000000    
       44    890,018183321        1000,00000000        0,00000000000    
       45    834,474105519        1000,00000000        0,00000000000    
       46    776,637005592        1000,00000000        0,00000000000    
       47    721,081450037        1000,00000000        0,00000000000    
       48    665,525894481        1000,00000000        0,00000000000    
       49    609,970338926        1000,00000000        0,00000000000    
       50    554,414783370        1000,00000000        0,00000000000    
       51    498,859227815        1000,00000000        0,00000000000    
       52    443,303672259        1000,00000000        0,00000000000    
       53    387,748116703        1000,00000000        0,00000000000    
       54    332,192561148        1000,00000000        0,00000000000    
       55    276,637005592        1000,00000000        0,00000000000    
       56    221,081450037        1000,00000000        0,00000000000    
       57    165,525894481        1000,00000000        0,00000000000    
       58    109,981816679        1000,00000000        0,00000000000    
       59    54,9909083395        1000,00000000        0,00000000000    
       60    0,00000000000        945,009091660        0,00000000000    
       61    0,00000000000        890,018183321        0,00000000000    
       62    0,00000000000        834,474105519        0,00000000000    
       63    0,00000000000        776,637005592        0,00000000000    
       64    0,00000000000        721,081450037        0,00000000000    
       65    0,00000000000        665,525894481        0,00000000000    
       66    0,00000000000        609,970338926        0,00000000000    
       67    0,00000000000        554,414783370        0,00000000000    
       68    0,00000000000        498,859227815        0,00000000000    
       69    0,00000000000        443,303672259        0,00000000000    
       70    0,00000000000        387,748116703        0,00000000000    
       71    0,00000000000        332,192561148        0,00000000000    
       72    0,00000000000        276,637005592        0,00000000000    
       73    0,00000000000        221,081450037        0,00000000000    
       74    0,00000000000        165,525894481        0,00000000000    
       75    0,00000000000        109,981816679        0,00000000000    
       76    0,00000000000        54,9909083395        0,00000000000    
       77    354,990908339        300,000000000        0,00000000000    
       78    409,981816679        300,000000000        0,00000000000    
       79    466,962592894        300,000000000        0,00000000000    
       80    533,037407106        300,000000000        0,00000000000    
       81    590,018183321        300,000000000        0,00000000000    
       82    645,009091660        300,000000000        0,00000000000    
       83    700,000000000        354,990908339        0,00000000000    
       84    700,000000000        409,981816679        0,00000000000    
       85    700,000000000        466,962592894        0,00000000000    
       86    700,000000000        533,037407106        0,00000000000    
       87    700,000000000        590,018183321        0,00000000000    
       88    700,000000000        645,009091660        0,00000000000    
       89    645,009091660        700,000000000        0,00000000000    
       90    590,018183321        700,000000000        0,00000000000    
       91    533,037407106        700,000000000        0,00000000000    
       92    466,962592894        700,000000000        0,00000000000    
       93    409,981816679        700,000000000        0,00000000000    
       94    354,990908339        700,000000000        0,00000000000    
       95    300,000000000        645,009091660        0,00000000000    
       96    300,000000000        590,018183321        0,00000000000    
       97    300,000000000        533,037407106        0,00000000000    
       98    300,000000000        466,962592894        0,00000000000    
       99    300,000000000        409,981816679        0,00000000000    
      100    300,000000000        354,990908339        0,00000000000    
      101    252,695689621        327,166121288        0,00000000000    
      102    250,782962307        382,486362509        0,00000000000    
      103    249,511213818        440,877034696        0,00000000000    
      104    250,115411091        500,857637955        0,00000000000    
      105    250,397057962        560,682212806        0,00000000000    
      106    250,835691350        617,119895066        0,00000000000    
      107    252,316878509        672,356664629        0,00000000000    
      108    320,478295300        742,393687427        0,00000000000    
      109    379,398142832        746,831266231        0,00000000000    
      110    439,373349984        749,030542912        0,00000000000    
      111    500,578697531        749,635503137        0,00000000000    
      112    560,619290737        749,547023881        0,00000000000    
      113    617,119699686        749,165898921        0,00000000000    
      114    672,357287152        747,684173269        0,00000000000    
      115    742,393678926        679,521708824        0,00000000000    
      116    746,831297157        620,601837473        0,00000000000    
      117    749,030529584        560,626643841        0,00000000000    
      118    749,635485664        499,421302082        0,00000000000    
      119    749,547009113        439,380714436        0,00000000000    
      120    749,165885091        382,880311168        0,00000000000    
      121    747,684169371        327,642717659        0,00000000000    
      122    679,521708824        257,606321074        0,00000000000    
      123    620,601748884        253,168807473        0,00000000000    
      124    560,626474701        250,969806153        0,00000000000    
      125    499,362825345        250,377780572        0,00000000000    
      126    438,452625205        251,287260696        0,00000000000    
      127    379,011845852        253,692079137        0,00000000000    
      128    320,413716577        257,532095680        0,00000000000    
      129    45,0836421930        80,8765518944        0,00000000000    
      130    49,7407733463        136,335397744        0,00000000000    
      131    50,2073644880        194,188814997        0,00000000000    
      132    50,1731548470        251,699731423        0,00000000000    
      133    49,6862097794        308,276562770        0,00000000000    
      134    49,4559421113        363,381542704        0,00000000000    
      135    47,5142853135        417,130581517        0,00000000000    
      136    47,0388256412        471,431137672        0,00000000000    
      137    48,6185309473        525,343410161        0,00000000000    
      138    49,4178227489        579,181490525        0,00000000000    
      139    49,8086076297        633,849148624        0,00000000000    
      140    49,7722371788        689,613645327        0,00000000000    
      141    49,9733461603        746,443844531        0,00000000000    
      142    50,3541964863        804,556067937        0,00000000000    
      143    49,4327239232        863,135174886        0,00000000000    
      144    44,9924033032        918,929456287        0,00000000000    
      145    81,3028793618        955,128183078        0,00000000000    
      146    136,413798808        951,420835571        0,00000000000    
      147    193,303672259        951,961410582        0,00000000000    
      148    248,999207259        950,983741300        0,00000000000    
      149    305,571652875        949,541017440        0,00000000000    
      150    362,216730512        950,121188305        0,00000000000    
      151    417,519896577        952,885225968        0,00000000000    
      152    471,414720288        952,957249646        0,00000000000    
      153    525,340566087        951,382501993        0,00000000000    
      154    579,180796463        950,583906458        0,00000000000    
      155    633,849011196        950,192830867        0,00000000000    
      156    689,613950781        950,229034127        0,00000000000    
      157    746,444266404        950,027676067        0,00000000000    
      158    804,556320589        949,646496990        0,00000000000    
      159    863,135200360        950,567990370        0,00000000000    
      160    918,929400987        955,008115196        0,00000000000    
      161    955,128143506        918,697515110        0,00000000000    
      162    951,420795056        863,586488046        0,00000000000    
      163    951,961410582        806,696327741        0,00000000000    
